user,rating_bucket,solved,attempts,weakness_score
-1e11,800,0.995575221238938,1.154867256637168,0.03128215682239144
-1e11,1000,0.9896373056994818,1.2124352331606219,0.03855886251355589
-1e11,1200,0.9905660377358491,1.3443396226415094,0.04069767441860465
-1e11,1400,0.9782608695652174,1.508695652173913,0.05682507583417592
-1e11,1600,0.9692982456140351,1.6885964912280702,0.06997144022847815
-1e11,1800,0.9464285714285714,1.7053571428571428,0.09323089700996681
-1e11,2000,0.9261363636363636,2.028409090909091,0.12103594080338265
-1e11,2200,0.8424657534246576,2.5753424657534247,0.21742593182542208
-1e11,2400,0.8547008547008547,2.8547008547008548,0.21168753726893266
-1e11,2600,0.6666666666666666,2.857142857142857,0.39977851605758585
-1e11,2800,0.5714285714285714,2.5714285714285716,0.48837209302325585
-1e11,3000,0.25,4.0,0.8430232558139534
-1e11,3200,0.8333333333333334,1.5,0.2015503875968992
-1e11,3400,1.0,5.0,0.11627906976744186
-Armageddon-,800,1.0,1.2272727272727273,0.02854122621564482
-Armageddon-,1000,1.0,1.6923076923076923,0.03935599284436494
-Armageddon-,1200,1.0,1.6923076923076923,0.03935599284436494
-Armageddon-,1400,0.8888888888888888,2.0,0.1576227390180879
-Armageddon-,1600,1.0,1.8461538461538463,0.042933810375670844
-Armageddon-,1800,0.9090909090909091,2.3636363636363638,0.145877378435518
-Armageddon-,2000,1.0,3.4285714285714284,0.07973421926910298
-Armageddon-,2200,0.7272727272727273,4.0,0.3657505285412262
-Armageddon-,2400,1.0,4.714285714285714,0.10963455149501661
-Armageddon-,2600,0.2,1.8,0.8418604651162791
-Armageddon-,2800,0.5,3.0,0.5697674418604651
-Armageddon-,3200,0.0,2.0,1.0465116279069768
-Armageddon-,3400,0.0,2.0,1.0465116279069768
-Shu-,800,1.0,1.16,0.02697674418604651
-Shu-,1000,0.9583333333333334,1.375,0.07364341085271314
-Shu-,1200,1.0,1.7027027027027026,0.039597737272155875
-Shu-,1400,1.0,1.826086956521739,0.042467138523761376
-Shu-,1600,1.0,1.9285714285714286,0.044850498338870434
-Shu-,1800,1.0,1.6451612903225807,0.03825956489122281
-Shu-,2000,0.9411764705882353,1.7647058823529411,0.09986320109439126
-Shu-,2200,0.9,2.1333333333333333,0.14961240310077517
-Shu-,2400,1.0,2.466666666666667,0.057364341085271324
-Shu-,2600,1.0,3.3333333333333335,0.07751937984496124
-Shu-,2800,1.0,3.0,0.06976744186046512
-Shu-,3000,1.0,1.6666666666666667,0.03875968992248062
-Shu-,3200,1.0,1.0,0.023255813953488372
-firefly-,800,0.9916666666666667,1.1791666666666667,0.03575581395348834
-firefly-,1000,1.0,1.1730769230769231,0.027280858676207515
